review,rating
"I can't retrieve my account after reinstalling, tried to contact HoYo but they denied my access. 🥲",5
"The overall game play is okay but I feel like this game is to p2w and I'm not saying this is bad or anything I just feel like a lot of the things in this game you have to pay for it. And I know grinding is a thing but sometimes I feel like it takes to long.And again, if you like it then good for you.",4
"Once you have unlocked a character ..there must be another way of unlocking his constellations, rather than wishing ...like you can have character based quests ...with several chapters with difficulty based levels...otherwise its just a money oriented game..where we have to be at mercy of gacha system ..to even dupe the characters which we already have.. Solution is ..for important constellations ..like c1 and c2 or even c3 ..you should give through ingame content and rest of them can be gacha",1
Cool,5
Adventuro,5
the download recourses is soo long,1
I luv ittt,5
This game's storage is ridiculous. 30GB on mobile???,5
This sucks First of all super Laggy and not even playable then the abilities are so annoying,1
I really love this game,5
Nice,5
"Anti cheat system is failing, more and more cheaters in the game, hoyoverse waiting for player report is not helping, there are plenty of player successfully used cheat under radar",1
No controller support for Android. But it does have it for Apple? Not getting my money then. Shady.,1
"An RPG game with the best graphics and the I've ever played, but i have some issue with the switching char that sometimes its lagging, but overall it' a very good game",4
"HI! IM ON MOBILE! I love it, music, graphics, characters, everything, but I have two problems, one IT TAKES A TON OF STORAGE TO DOWNLOAD, I deleted like 5 apps and a ton of files then it started to download, ALSO I CANT PET ANY OF THE ANIMALS, PLEASE ADD A FEATURE SO WE CAN INTERACT/PET THE ANIMALS!!!",3
This dangerous game makes me addicted to play.... But my gacha always ZONK..... 😭😭😭,5
"This game is awesome! Although you have to wait for the download, but this game is really addictive!",5
Genial,5
Gud but stutter so 4 stars,4
"First of all is. Graphics: Very satisfied Game play: satisfied Stories: Very satisfied Quest's: Very satisfied Animation & Characters: Normal Maps: Normal Events: Very satisfied I've been playing genchin for one year and the 4.6 update is well genchin is updating ther map because it's very boring when there is no other maps so I love it they add new map and the New upcoming her name archelino, the events is great and sometimes not great, sometimes boring well well yha.",4
It's really a good game and it's was too cutie characters,5
This game is so scam,1
"I love this gameeeee, even though i got it from Galaxy Store, not from Playstore",5
Wish me luck to get arlecchino,5
Игра хороша но неоптимизированна,3
Needs controller or keyboard and mouse support for android!,3
30 gb ??????? FOR A GAME ??? for real ?? I have 128 gb storage phone but i still wont let a game take 30gb of space. Just be real devs it's a phone not a pc.,1
Great game it's open world so lot to explore.,5
Needs controller support,1
WHY IS SUMERU SO LONG I'M TIRED BRO,4
Super but big size,5
Op graphics 🤤✨🌟,5
Grind so hard i hate myself,5
Awesome,5
"This is a fun game, but half the people who play it are rude and inconsiderate. Not everyone but enough. And it's constant crashing does not help, don't even think about asking hoyo for help because they won't respond. If I could give the game 0 stars I would.",1
"Superb game...Love all the graphics, design, stories and even new journey and adventures!!! Overall it's an mind blowing hella game.. ❤️❤️✨✨🤯🤯",5
I love this game,5
It's a good game 👍,5
"This game has fantastic in game environment and fighting styles. I am not really fan of anime, but still this game story is heart touching from Sumeru & Fountaine archon quest. Paimon is annoying but she is so cute while reacting 🤣.",5
"I LOOOOOVEEEEE this game is so addicting and the story is so interesting! The open world feature lets you explore everything, and the scenery is amazing! There are constantly new updates, and it keeps the game going. Overall, this is one of my favorite games!",5
Takes up to much space sadly and it doesn't give you much rewards and it gets more boring the more you play it,1
I love how the story runs,5
This game is so nicee but it it take a lot of storage from your phone,3
If you have alot of storage...BUY IT‼️‼️,5
The game is good for sure. The graphic really stunning. The combat system also great. But i my game crashing so hard during Archon Quest in Inazuma Well maybe my bad because my phone not too powerfull,4
I love the game so much and I recommend it! It's fun and lots of storylines too. The characters are pretty and fun too play with,5
Its not relevant at all feel like bored and hard to complete the event until end of time..everyone is joining with making and buying the cosplay suit for all characters in Genshin...i think not too many of them will play this game so far..,1
Best Mobile Game by far. Don't get misled by fake reviews by haters this is peak. You won't regret playing this game.,5
This is may favorite game,5
I miss playing Genshin 😭 my phone's storage can't handle it anymore 😔,5
👍🏾👍🏾👍🏾,5
Good,4
Noice.,5
It's an excellent game,5
"I have a lot of fun, what more can you want?",5
"This game is not letting me login, it says ""Failed to connect to the internet"" when I literally have my internet connected properly. This has been happening for the past 2-3 days, please check the issue. An early response would be appreciated.",1
Good game. But it takes a lots of space 💀😅 but still fun.,5
I've been playing since 2021 and still love it just as much. I just recently restarted on mobile now it feels nostalgic lol,5
The Best,5
The rewards for Playing Quests are not good you have created so many quests and the rewards of them are really worst . Big missions are worth nothing when the rewards are not satisfying,1
I really like it's graphics,5
Awesome game,5
Good but too heavy. but I like it,5
Shut,5
Its fun,5
"For the ""free"" 4* skin only available in China. You get it.",5
"I'm addicted to genshin , definitely one of my 5 star games , I love how interactive it is and I've made many new friends in co op",5
"It's a fun game with various characters to unlock. It gets better and better whenever I play, it like I'm addicted to the game. My favorite character would be Mona or Sayu. I hope I can unlock them in the future, until next time peeps",5
It's one the best game i have ever played It's fabulous 👌 awesome It's available on all platforms fantastic stories I would really like to have a clan like system or increase the how many in-game friends i would really appreciate that if we can have a clan,5
It's the best game ever,5
I love it soooooo much it has my sister in it,5
Best game ever!,5
👍,3
The game is good and addictive though now that I finished most of the quest the games kinda gets boring (because theirs no quest 😕) can't wait for Nathan and snechnai(don't know the spelling) to be released,4
"Does not give enough primogems, like come on the quests are too long just like their dialogue and then they'll just give like 60 or less primogem, that is not even enough to buy 1 wish, and i spent hours to collect 1600 primogems or more, then I didn't get anything just useless weapons, and also why do I have to make 80 wishes? After my 80 pity I got a five star character but its not even in the banner.",1
The game is beautiful and I recommend it (just be rich),5
"Tbh when I always open the game it's says there is always a bug and i should clear cache, i cleared it but its still didn't work.",1
xhongli ve filuca sddikim,5
"No doubt world is so big , storyline is awesome and game is full of new characters and areas with new updates I download in oct 2023 and from then I play this game daily but no sign of boring or anything only issue I'm facing is they give very few rewards for very long missions kinda disappointing if I compare this to othe games",4
It's sooooo great game it's the best game I played ever,5
"This game is really really bad The company does not care about this game and gives all preference to their second game, Honkai Impact",1
"Nice graphics and nice game. BUT, I just download this game, which my friend suggested me to play. And guess what? IT LITTERALLY TOOK SO LONG TO ENTER THE GAME. Plus, IT WENT OVER THE MB. I dont recommend this game for 300+ MB",2
Beat game ever,5
More chances for 5 stars,5
"Long time player here, the developers don't care about the player base, takes a long time to implement QoL changes asked from way back when, and the rewards and grinding are not satisfying. This game has a lot of potential still and it's sad that the Devs are squandering that and our goodwill.",1
My favourite RPG game ever but the size of this game is so big only that is the minuspoint of the game,5
Bad game terrible awful not good many pixels for an offline game bad don't recommend Btw it's the worse game on earth,1
"I started playing on my PS4, but I usually use my phone recently, so why can't I buy Genesis Crystals on my phone?",3
"This my fav game since 2020 I think, though my storage can't take it.",5
"Its good i like the lore and the details , ive been playing it for more than 2 uears now but i gatta say ,the rewards are ashy. just to do a 1h quest for 60 primogems , alot of time for so little rewards. Lets just hope they change this thing.",4
It's a very good game I like it and the graphics are like omg I highly recommend you to play thank you 😊,5
Genshin is the best game I've ever played in my life!,5
love it genshin impact 💙🤍,5
I like to play this game but lovely my phone still can't open this game because of need more internet quota to download a new server or update a new version,5
Virtual game nice!!!,5
I love this game so much i love adventuring around teyvat and i cant wait for Natlan's release!!,5
Please create underwater world too,5
Didnt win 50/50,1
As a gamer I loved it ❤,5
Not bad gameplay and good ghraphics design!,4
Super,5
"So it was okay before I downloaded the last two updates and that really hurts because I REALLY LIKE THIS GAME!!! WHY did whomever have to go and mess it up. While in the middle of a game it just exits the whole game like I wasn't playing it all. Like what the hell?! Please fix this like asap because I really don't want to uninstall this game. And after you fix it, I'll fix my rating. Okay thank you,....bye!",2
Love it so much,5
Great game,5
Super,5
"A good game with a ton of content for casual players, with a light sprinkle of endgame content. The text is bloated and the difference in play experience between F2P and pay-to-win is vast, but don't negate the fact that there is a rewarding experience to be found for most players.",4
Entertaining,5
"I've been a player for 3 years, had a lot of fun memories in this game. Amazing characters, fun gameplay, beautiful open world, etc. Overall i've enjoyed most of my experiences in this game :)",5
Trash,1
I can't play this game why,1
Good game but why i cannot get any new hero,5
🤩 Amazing game,5
เกมดีมาก แต่สเปคก็ต้องถึงเช่นกัน,5
It's amazing and the graphics style is really good,5
"I LOVE THIS GAME ALREADY, tons of adventures! But sometimes theres alot of paranormal stuff... But still like it, its like adventuring your own life, so fun!",5
I love the game,5
I really love this game it's so fun but I don't like how it take up so much storage,5
"Amazing game...although..it can get confusing sometimes....but otherwise, amazing game...list of good things about it: •Graphics •Storylines •Music •Character designs List of bad things about it: •Nothing",5
4.5 driest update,3
I like it <3,5
"It's a fantastic game , beautiful , fun and exploring the beautiful world for treasures and other stuff is amazing not to mention the amazing characters! But a little more rewards will make the players satisfied and will hopefully stop them from review bombing",5
"The game is really Amazing. But for low end-devices or phone with smaller storage, You guys should do a ""Option"" on what you will only to download, not only it can save up space, but also let the low end-devices play this Amazing game.",4
Require too much storage for a phone game....,1
Good game,5
I love this gameeee!,5
well ypu know..,5
Even with rog gaming phone this game crash sometimes,3
"ya iya seru, tp akun ku ilang, makasi❤❤",2
It was a extremely good game,5
sangat keren!,5
"It's been 2 years since i last played, i really loved the game but i didn't have enough storage for it. I installed it again today on my laptop but I can't log in with my Google account and I can't log in on any other device since I have no storage. I don't want everything to be lost..",5
if you ever play console/PC but don't have time at home. the mobile app is handy. my only problem is thatmy Xbox and Nintendo switch controllers are not supported. and I can also presume other controllers aren't either other than the Apple version.,4
The 5 star rates are terrible,1
"I have my new phone, the Itel P55. I hope you guys improve its graphics performance for this genshin game.",5
Nice,5
"I love the game but the amount of times the game stoped because of my ""Internet"" is absurd.",4
Long Downloading time,1
"Compared to hsr , boring asf and doesnt recieve QoL updates . Its like hoyos adopted child",2
Best game I have ever encountered I don't regret the storage it takes,5
"Frustrated with the wish/pity system, especially when it comes to spending. I feel like if I'm dropping $40 on the game, getting the 5* should be guaranteed. Motivation to play the game has completely gone down as well, it feels like after a while there's no motivation to log on and do tasks every day, and the main quests get too long for me to play day-to-day. Overall, it was fun at first but between the atrocious pity system and the game getting boring after a while, it's not worth it anymore.",2
No need to explain if you play it you know what I mean,5
"Continuing to add characters and weapons has become a trifle, it's better to complete the story instead of this nonsense",1
"I absolutely love this game. I have two accounts, one for each traveler and it has been an amazing experience",5
"Bug background blur photo mode on dimensity 7200 ultra. Changing blur distance not working, its just blurring the whole screen when i set full blur radius. And also please add custom button game UI mapper feature",4
My favorite game but only 40 primogems for a quest is crazy 😭 Even the hardest quests gives only 60 :((,5
"I've hit 100% exploration everywhere including the reputation with 1k+ achievements. I'm dying from boredom, low mora, no end game content and very less primos, you can barely pull 10 every month. I loved this game. Unless you're willing to invest your time and a lot of money on monthly basis, you'd definitely find yourself in a difficult spot.",2
Good so playable,5
TRUST,1
Wonderful game just superb,5
It's fun to play since it's open world,5
good game,5
"I just give a one start because my sister is not doing anything else with her life than playing. Horrible game, horrible sister, and horrible lifestyle.",1
Nice,5
Yippie,5
"p2w game, gambling addiction, bad multiplayer mode, and no server transfer!",1
It cool,5
As low as 5* summon rate,1
fun.,5
Best game I've ever played,5
BEST GAME EVER I LOVE U I HAVE BEEN PLAYING U FOR A YEAR MY FAV IS NEVU FOR NOW BUT I MIGHT CHANGE IT BUT I JUST CANT PULL A NEVU AND I GET SAD AND JEALOUS CAUSE MY SISTER HAS HIM 😔,5
I'll rate this to 5 stars if Hoyoverse gift me Kazuha. -Whoopsie,1
The game is awsome but i have a problem Mihoyo do you have any personal issue with me? From the beganing of the game i never got a single good artifact i farm so much but didn't got a good set please give me good artifact 😭😭😭,1
You guys treat the community badly.,3
Event keep ending earlier than the schedule,1
"Definitely a really beautiful game with good lore but the in game events and web events need to get more frequent because if you're an old player, you most probably are caught up with everything in the game. I'm AR60 and I've completed everything. I don't feel like playing the game except when there's something new out there.",3
Father and Nilou pls And furina for perry and scythe for Mori.,1
Yeah not a bad game I love it the graphics r so damn cool such a good story fun gameplay nice animations I love it nice!,5
I give it 5 stars cuz i love hoyoverse...however Im not in love in adventure rpg,4
It's so fun! I love the adventure,5
Alhamdulillah game nya bagus ya,5
Cool,5
The first time I play this game I deleted it because Kaeya doesn't freeze the water on the temple and when I walk on the water I died. But nothings changed when i reinstalled. How can I fix this ?,4
Low fps,1
Good everything is good in this game no exception 10/10 one of the best open world rpg games that I played,5
The story line and the character design is good and the different region and taking reference from different countries is amazing as well,5
Good!,5
good,5
But the traveler can change the elements in between the battle or in any place and the traveler can use all weapons and wish is so hard the chance is very low and hard to collect primogems,3
This such an addicting game I love it,5
I didn't get my account back but they still really help me so thankyou so much! (FIVE STAR FOR ME!),5
Indian server ping very high 599 Please fix Indian server ping,1
Indtalled it and immediately gsined 10 kilos,1
"According to the judgment of the Oratrice Mecanique D'analyse Cardinale, Genshin Impact deserves a 5 stars rate.",5
"The app is really good. The gameplay, the quests, the character designs, the voices, the visuals, the features, everything is great. I've been playing it only for a month and I still gotta discover it more, but now, it's a good start. The only problems that are here is that it takes kinda much space and it lags, but it's because of my device. Again, the app is great! Really recommend this game.✨",5
nice adventure game,5
Very good,5
Игра просто супер играю 2 года и не каких глюков не было на акке много лег. И обыч. героев все плюсы и не произнесу из очень много.😍😍😍,5
Wish it didn't take so long to download. Then you want us players to buy packs or in game purchases! I'd rather play free and not have to wait for hours to play.,1
I got a quest pending because of which i cant play multi player for months. It would be really helpful if the game could specify which quest I should complete to be able to continue playing co op and to enter serenity pot,4
Not recommendable game,1
I love this game the story mode the graphics and the quests makes it very adventurous ✨💖 I'm in love with the characters and the story mode of the game 🎮,5
ineedajigglemaballs😭😭😭😭🙏🙏🙏,5
"Sh* ty game, racist game wich doesn't care about global Occasions such as Halloween and Christmas etc- the rewards are the worse",1
Explosive,5
Nicee but want more primoo pliss,5
a good game,4
Gw pernah main ini terus menahan sabar kek puasa pas belum belum buka bro,5
بخيلين,1
Lacking in rewards and general player treatment,1
"The game has become routine and there is nothing new or additions to the Primo Games. It is very limited and it is not possible to even get anything that is at least 5 stars, and the luck is getting worse and worse.",2
Game is boring for endgame players been a supporter of the game for 3 years not anymore,2
im having a problem with logging in! i tried restarting my device & reinstalling the app. still no use.,1
Best open world game in the world,5
Wonderful Colors Cool And More( Edit One) Like It,5
Best game ever yaay,5
awesome game....this is the best game I had ever played....but it's addictive...time killing...and the quest are a bit long.,5
Bagus tapi...,4
It is a very fun game. But it takes a lot of space of phone. It really worth it!❤️,5
Excellent game thanks,5
I'm giving you this one star right now because ever since I played this game (2021) I haven't won my 50% and that's so disappointing for me to waste my time and efforts in the end just for a standard character.,1
So good i played this . The everything is great,3
A solid 10/10 i recommend this game if you like adventure games.,5
Wonderful,5
It's my childhood game and it was so nostiligia but when I came back my account was deleted it had my heart burning in days pls can get this fixed,3
Bestt,5
Nice game but lag,4
GOATED game ngl,5
"Always too many requests when try to login, uninstalled already",5
New one is a hi I LOVE 😘,5
"This is one of my favorite game! I love the stories, the quests and the characters! My favorite character is probably Raiden shogun, my least favorite character is.. Aloy.. Sorry to Aloy lovers! And I simp... Let's say 3 boys, that is Venti, Childe and Wanderer.. Ehe..",4
Very,5
The game has a lot of potential but Mihoyo refuses to let it see it's potential. There is no content in which to use the characters you collect because of a lack of endgame and how stupidly easy everything is on the overworld. They lock lore and important story behind LTE's. They haven't updated the weapon banner to be like HSR's which is far superior. Tedious Dailies (let us just spend resin to finish them already). It's been years and they still haven't listened to the community.,1
The story is good,5
Give us more primogems or remove 50/50,1
love this game,5
Size is too big,1
Good Game And Sans Gamr,5
So very naisu even in low fps,5
"I love this game a lot ever since my friend recommend it to me...I felt like, I'm living in my own fantasy world, its cool and awesome...And the cutscenes❤️❤️, i really really love it but the game storage was too big every update😥",4
"Ahem. HI GENSHIN IMPACT LOVE THE GRAPHICS LOVE THE GAME I LOVE RCERYTHING, but I've got one problem, so you see. I was helping my friend log in on my account in a different gadget. not on my phone or laptop, but hers 😊 and i couldn't help but notice it keeps saying WRONG PASSWORD 👹 and so pls fix this mess, thank you, luv from ur fans <3",5
please give free 5 star character,5
This game was so good.,5
I love this game so much.,5
This is my fav game🔥🔥💯,5
Very good,5
GENSHIN IMPACT FOR A BETTER LIFE!,5
😁👍🏻,5
I love itt,5
Im out of patience to wait 30gb download before playing,1
"why I think it's really bad for Mobile players, cause it cost a ton of GB's. And yk our device gets clogged quickly, But it's a good Game tho. I still have to delete all my Apps to download this.",3
👍,5
Trash anniversary rewards,3
I love this game but when I play this game is amazing like step in real life anime but time pass by it's bring now and am f2p it's h hard to farm the event and primos not enough,1
not f2p friendly when you always lose. it's gacha game but the devs won't give enough fates or primogems to get the characters you want. it's just basically a story game with bunch of waifus,1
I LUV SCARAMOUCHE AND XIAO,5
Amazing journey and best openworld game this is my favorite game,5
Good,5
Best game ever i play,5
It's a really good game I really like it,5
"I absolutely love this game and everything about it. It's really fun and enjoyable there are many events and fun stuff to do but there's one problem I have. My storage is gonna go rip because of genshin impact 😭🙏 which of course, is a problem, but I don't plan on deleting it any time soon. Overall, this is a great and very fun game to play. You can fight in it (no gore or blood). If you are going to get Genshin Impact, make sure you have the storage to do so. Great game. Keep it up, hoyo.",5
Amazing!,5
Not enough resin to do things that needs to be done...,2
Bla bla,5
"Lots of dialogue The secondary missions also seem to have no end, I don't think that's a bad thing but at a certain point it gets tiring, also the fact that you can only advance in the main story when you have a certain rank Of adventure, It kind of loses the meaning of being ""open world"" If you are limited to only following the main mission when the rank is high..., Other than that, the game is perfect and deserves 5 stars",2
I want to play this game but I don't have that much space please make it low space game,5
Mere phone me itna storage nhi hai jitna is game ka size hai 🤬🤬🤬🤬🤬,1
Lovely.,5
I love genshin impact but it keeps kicking me out and lagging and it freezes not letting me play and I deleted games to play it and it still doesn't work,2
what happened to my genshin account it happened that i didn't play for almost 2 months and when i try to log in my account i need to start from the beginning from selecting my character.,1
"This is a kinda great fantasy game, for next please gimme some amazing rewards. Thank you :-)",4
Lmao,5
I literally love this game and the graphics it helps when I'm sad and stuff,5
Man 30GB is crazy I wanna play but can't I need storage,2
I like the game also the graphics is sooo good,5
Overall this game is really beautiful and really fun for a game that's free!,1
I haven't been able to play this since I downloaded it and it keep downloading. This is ridiculous I don't have time this foolishness.,1
BEST RPG GAME CUZ OF LORE (my fav character is venti my opinion),5
"I've been playing since 2020, and I plan to spend many more hours on this game. I have no complaints other than not being able to pet the animals outside of events. It's beautifully made with intricate characters and a complex plot and gorgeous geography all over the map",4
Improve graphics,5
The game is beautiful and the play style is very fun. I'm used to honkai so there is a learning curve. But I am genuinely enjoying the game.,5
"This game is amazing, the first time I saw I thought it would not be good But when I played it on my Samsung tab s9 Fe it was kinda fun",5
I never played this I just like hating,1
So high quality for devices,1
Such a adventurous game I like to play it I wait for play it,5
This game is very fun and is NOT pay to win! I love the game but there is to many downloads but it's still so fun and cool the graphics on ps5 is crazy tho!,4
Its cool bro it's good game,5
Played it before. Good game but no controller support for android? Bad!,1
It has really good graphics and it's an Adventure/story game,5
Cool I recommend it,5
Greedy af devs,1
Very stingy with rewards and very difficult to clear. there is no breath of relief the game wants to kill you,1
Nice open world game.,5
Amazing first part the star is good so far,5
"I love this game so much that I will stay until the very end BUT OMG FONTAIN ARCHON QUESTION ARE SOOOO LONG, I'm okay doing quests but I don't want to hear paimon yapping for 5+ hours straight and I also wan to explore thank u (◍•ᴗ•◍) and stop spoiling hsr",5
I like this game this is my new life you know what I really love this game because I,5
"Awesome totally ten I would rate this game at 10 out of 10.It was a wonderful game and a wonderful experience.The open world , exploring is so much fun and then you characters Are really awesome. I definitely would recommend this game. To all the people who like action games.",5
Wow,5
If you play this game get a job,1
Its very good,5
"Tambahin support gamepad di honkai dan genshin plis, star rail aja bisa",5
This game is excellent especially for anime lovers,4
For me it's an amazing game than any other hoyoversegame. Even though I struggling to get a character on the game I enjoy the game. I wish they improve their wishing system for f2p players. 🙏🙏,5
The rewards every anniversary are only getting worse lmao,2
Nahh,3
Potomu,1
"I can't open genshin impact it's show too many request even after deleting app...again I reinstalled it but it's"" show too many request"" What to do....?",1
Great Game,4
Sad to see this game become nothing more than a cash grab. Wasted potential,4
"- It is SO. FKN. LAGGY. No dialog skipping + None, it's just genshin",1
"Good game,nice view, good graphic, but kedekutt",1
Gacha gak bagus bagus :/,4
"Lol, game too boring. Too much bla bla on quests and they're boring af.",1
Suga,4
Best game,5
THIS IS FIRE!!!11 🔥🔥🔥🔥🗣️🗣️🗣️🗣️,5
30+gb and no sd card support,1
I play everyday and I love the character design.,5
"The games story is really good, but it doesn't feel like you have much choice and just do what they tell you, and some times you need to grind to go further into the story. The other problem is that most of the locations aren't very different from each other, of course there are some really beautiful ones, but it's rare. The last issue is the combat because you often forget about the elemental system and the characters doesn't play much different from each other.",2
Good,5
Absolutely amazinggg 💯💯💯,5
Two words: CONTROLLER SUPPORT!!!!!!,5
"It's a pretty cool game!I've been playing for 1 month now....and the game style,the storyline everything is pretty cool!! Definitely Recommend.",5
Love the game but i fr thought there was a warning when i wished for 5 to get a 5 star character i was saving for zhongli but still love it,5
Aku menyukainya,5
"Very happy to play this game, the story interesting with high-quality graphic, but why this game gets bigger size by day",4
Its great game but not generous enough,1
Good,5
Good game but need some features like to save artifacts of a particular character,5
